intensidad_media,mediana,desviacion_std,varianza,asimetria,curtosis,p10,p90,rango,homogeneidad,energia,contraste,correlacion,entropia,lbp_entropia,lbp_energia,area,circularidad,compacidad,solidez,excentricidad,extension,Clase
0.2037466,0.2098765,0.1324159,0.01753396,0.912369,5.664406,0.02880658,0.3539095,0.3251029,0.9601836,0.3011754,0.2226012,0.9620305,6.742328,2.639901,0.1971522,21398,0.906755,1.102834,0.987904,0.7602937,0.7014818,1
0.2551857,0.2409091,0.1337638,0.01789276,0.8435417,4.237169,0.1,0.4318182,0.3318182,0.95027,0.2644467,0.2128398,0.958221,6.808406,2.634113,0.194428,22754,0.8966243,1.115294,0.9839993,0.7047994,0.7463264,3
0.1412387,0.1215686,0.0770263,0.005933051,2.46172,14.54075,0.07058824,0.2313726,0.1607843,0.9879864,0.4946347,0.0788508,0.9876136,5.938361,2.748097,0.1773679,136046,0.8627482,1.159087,0.9567969,0.684531,0.713321,2
0.5004238,0.5058824,0.172279,0.02968004,-0.04424873,2.482072,0.2705882,0.7254902,0.454902,0.9542316,0.2338823,0.1859481,0.9401558,7.471037,2.595906,0.2023973,35017,0.9154801,1.092323,0.9633023,0.4458121,0.7579437,2
0.2732777,0.2450593,0.1517837,0.02303828,0.5175441,2.459907,0.09090909,0.4901186,0.3992095,0.9675832,0.2686432,0.1459355,0.9721424,7.128667,2.727189,0.184336,53487,0.9329484,1.071871,0.9912894,0.6976936,0.7264985,3
0.3125524,0.2901961,0.1373372,0.0188615,0.7194457,3.52504,0.1568628,0.5019608,0.345098,0.978,0.2804375,0.09677304,0.9799988,7.090031,2.786063,0.1681783,161549,0.8835612,1.131783,0.9879887,0.5381187,0.7173356,2
0.3702732,0.3700787,0.1658709,0.02751314,0.1824963,3.120673,0.1496063,0.5787402,0.4291339,0.9563156,0.2611816,0.1978859,0.9483324,7.381938,2.777248,0.176767,24280,0.9281095,1.077459,0.975453,0.4882355,0.7799049,1
0.3083372,0.2806324,0.1523307,0.02320465,0.5703379,2.800272,0.1264822,0.5217391,0.3952569,0.9534901,0.2605141,0.1651119,0.9533352,7.216943,2.687868,0.1917595,55375,0.9174619,1.089964,0.9907323,0.7530472,0.8492447,2
0.2157066,0.1927711,0.1317559,0.01735963,0.8638642,3.587759,0.07228915,0.4016064,0.3293173,0.9692607,0.3202268,0.1628224,0.9754645,6.905517,2.784453,0.1732553,22089,0.7475953,1.337622,0.9232216,0.8201343,0.5961943,1
0.383122,0.3764706,0.1862811,0.03470066,0.6162516,3.215997,0.1529412,0.6078432,0.454902,0.9492741,0.2123139,0.2551048,0.9366699,7.31108,2.762257,0.1780033,9046,0.7681675,1.301799,0.9625452,0.8910345,0.7935088,1
